Country/Region,Confirmed,Deaths,Recovered,Active,Id_region
United Arab Emirates,59177,345,52510,6322,176
United Kingdom,301708,45844,1437,254427,177
Uruguay,1202,35,951,216,178
Uzbekistan,21209,121,11674,9414,179
Venezuela,15988,146,9959,5883,180
Vietnam,431,0,365,66,181
West Bank and Gaza,10621,78,3752,6791,182
Western Sahara,10,1,8,1,183
Yemen,1691,483,833,375,184
Zambia,4552,140,2815,1597,185
Zimbabwe,2704,36,542,2126,186
